Neptune Analysis Data Report,,,,,,,,,,
Filename: C:\Neptune\User\Neptune\Data\Boron\2022-02-15 Boron IC-F FF AAJ_5RMs_Seq2_20220215-221507\327_U.dat,,,,,,,,,,
Date: 16/02/2022,,,,,,,,,,
Sample ID: ,,,,,,,,,,
Method Name: C:\Neptune\User\Neptune\Methods\B method F F_AAJ.met,,,,,,,,,,
Wheel ID: ,,,,,,,,,,
Run number: 327,,,,,,,,,,
View Mode: RUN_VIEW,,,,,,,,,,
Evaluation Mode: Static,,,,,,,,,,
Analysis date: 16/02/2022,,,,,,,,,,
Analysis time: 05:50:17,,,,,,,,,,
Operator: ,,,,,,,,,,
Instrument: ,,,,,,,,,,
Comment: ,,,,,,,,,,
SampleType: SMP,,,,,,,,,,
Blank 1: ,,,,,,,,,,
Blank 2: ,,,,,,,,,,
Standard 1: ,,,,,,,,,,
Standard 2: ,,,,,,,,,,
Data Version: 3.3.0.3 ,,,,,,,,,,
Export Version: 3.3.0.3 ,,,,,,,,,,
,,,,,,,,,,
Cycle,Time,9.9,10B,10.2,10.436,10.9,11B,11B/10B (1),10B/9.9 (2),10B/10.1 (3)
98,05:51:11:929,2.76E-04,2.42E-03,2.51E-04,2.75E-04,1.91E-04,1.03E-02,4.27E+00,1.96E+04,1.96E+04
99,05:51:12:194,2.72E-04,3.05E-03,2.75E-04,2.31E-04,2.14E-04,1.31E-02,4.30E+00,-1.25E+05,-1.25E+05
100,05:51:12:462,2.56E-04,3.54E-03,2.42E-04,-2.37E-05,2.22E-04,1.53E-02,4.31E+00,0.00E+00,0.00E+00
101,05:51:12:727,3.06E-04,3.86E-03,2.28E-04,1.08E-04,-2.87E-05,1.68E-02,4.36E+00,3.16E+05,3.16E+05
102,05:51:12:993,2.76E-04,4.15E-03,2.87E-04,8.46E-06,7.44E-05,1.82E-02,4.38E+00,5.60E+04,5.60E+04
103,05:51:13:259,3.00E-04,4.43E-03,3.14E-04,5.70E-05,-1.41E-04,1.92E-02,4.34E+00,8.94E+04,8.94E+04
104,05:51:13:526,2.85E-04,4.52E-03,2.32E-04,6.06E-05,8.62E-05,1.99E-02,4.39E+00,-3.71E+05,-3.71E+05
105,05:51:13:792,2.43E-04,4.65E-03,2.68E-04,2.52E-04,3.12E-04,2.04E-02,4.38E+00,0.00E+00,0.00E+00
106,05:51:14:058,3.36E-04,4.72E-03,2.85E-04,1.61E-04,3.45E-04,2.07E-02,4.38E+00,3.87E+05,3.87E+05
107,05:51:14:324,3.06E-04,4.75E-03,2.63E-04,-8.18E-06,1.73E-07,2.10E-02,4.42E+00,7.69E+04,7.69E+04
108,05:51:14:590,2.73E-04,4.81E-03,2.58E-04,5.33E-05,-3.16E-05,2.13E-02,4.43E+00,-3.94E+05,-3.94E+05
109,05:51:14:855,2.74E-04,4.81E-03,2.40E-04,2.05E-04,2.39E-04,2.13E-02,4.43E+00,0.00E+00,0.00E+00
110,05:51:15:121,2.71E-04,4.83E-03,2.56E-04,2.00E-04,1.20E-04,2.14E-02,4.42E+00,0.00E+00,0.00E+00
111,05:51:15:388,2.85E-04,4.90E-03,2.68E-04,-1.05E-05,3.14E-04,2.14E-02,4.37E+00,0.00E+00,0.00E+00
112,05:51:15:654,3.33E-04,4.87E-03,2.94E-04,2.57E-04,1.15E-04,2.14E-02,4.39E+00,0.00E+00,0.00E+00
113,05:51:15:921,2.93E-04,4.81E-03,2.77E-04,5.01E-05,-1.84E-05,2.12E-02,4.41E+00,0.00E+00,0.00E+00
114,05:51:16:187,2.94E-04,4.82E-03,2.04E-04,9.38E-05,2.52E-04,2.11E-02,4.38E+00,0.00E+00,0.00E+00
115,05:51:16:453,3.16E-04,4.79E-03,2.81E-04,1.02E-04,1.86E-04,2.10E-02,4.38E+00,0.00E+00,0.00E+00
116,05:51:16:719,2.67E-04,4.75E-03,2.77E-04,1.95E-04,2.49E-04,2.09E-02,4.40E+00,0.00E+00,0.00E+00
117,05:51:16:985,3.25E-04,4.71E-03,2.24E-04,5.88E-05,7.32E-05,2.08E-02,4.42E+00,3.86E+05,3.86E+05
118,05:51:17:250,3.49E-04,4.76E-03,2.53E-04,1.13E-04,-1.02E-04,2.06E-02,4.33E+00,7.70E+04,7.70E+04
119,05:51:17:516,2.66E-04,4.64E-03,2.78E-04,-3.26E-05,1.60E-04,2.04E-02,4.41E+00,-3.80E+05,-3.80E+05
120,05:51:17:782,3.02E-04,4.58E-03,3.08E-04,2.76E-05,1.59E-04,2.03E-02,4.44E+00,0.00E+00,0.00E+00
121,05:51:18:049,3.18E-04,4.68E-03,2.45E-04,1.90E-04,1.44E-04,2.02E-02,4.32E+00,0.00E+00,0.00E+00
122,05:51:18:315,2.72E-04,4.58E-03,2.36E-04,2.70E-04,1.05E-04,2.02E-02,4.40E+00,0.00E+00,0.00E+00
123,05:51:18:582,3.11E-04,4.56E-03,2.70E-04,3.37E-05,-1.26E-05,2.01E-02,4.42E+00,0.00E+00,0.00E+00
124,05:51:18:848,2.98E-04,4.58E-03,3.03E-04,2.39E-04,1.35E-04,2.00E-02,4.37E+00,0.00E+00,0.00E+00
125,05:51:19:114,2.45E-04,4.55E-03,2.85E-04,1.34E-04,1.43E-04,2.00E-02,4.39E+00,0.00E+00,0.00E+00
126,05:51:19:380,2.67E-04,4.50E-03,2.39E-04,-9.85E-07,1.51E-04,1.98E-02,4.41E+00,0.00E+00,0.00E+00
